ingredient,recipe_ids
DRIED BLUEBERRIES,"[396, 826]"
thick curd,[1268]
MIRIN,[336]
KHOYA,[480]
MASHED POTATOES,"[1278, 1356, 1373]"
CINNAMON POWDER,"[24, 64, 378, 448, 540, 620, 694, 875, 947, 1010, 1052, 1320, 1343, 1371, 1433]"
AAMCHUR POWDER,"[398, 428, 481, 609, 624, 629, 760, 868, 879, 904, 921, 926, 927, 934, 940, 948, 966, 985, 990, 1001, 1005, 1030, 1032, 1065, 1080, 1087, 1094, 1095, 1096, 1097, 1116, 1304]"
Gram flour,"[301, 318, 343]"
LAUNG,"[391, 396, 454, 482, 849]"
Kala namak,"[389, 399, 442, 465]"
ROASTED CHANA,[116]
KAFFIR LIME LEAVES,"[195, 326, 1246]"
IDLIS,[1374]
BARBEQUE SAUCE,[1392]
RED ONION,[374]
Dhaniya,"[389, 465]"
CORIANDER STEM,"[76, 107, 182, 194, 201, 209, 222, 325, 371]"
LENTILS,"[6, 72, 138, 226, 1417]"
ROTI,[236]
BROWN BREAD SLICES,"[757, 835, 1444]"
GREEN CARDAMOM,"[19, 26, 33, 47, 57, 60, 71, 84, 86, 95, 100, 105, 110, 111, 114, 117, 119, 153, 154, 157, 161, 162, 169, 173, 176, 182, 193, 194, 196, 202, 210, 212, 222, 223, 240, 243, 252, 275, 308, 313, 319, 325, 330, 345, 348, 371, 379, 403, 503, 546, 549, 575, 594, 596, 605, 635, 674, 776, 803, 806, 835, 858, 868, 870, 874, 876, 905, 912, 913, 915, 931, 941, 1025, 1029, 1037, 1042, 1229, 1254]"
Lemon juice,"[299, 301, 318, 329, 343, 358, 386, 442, 444, 458, 471, 485, 488, 499, 506, 539, 606, 614, 637, 681, 754, 850, 865, 884, 885, 978, 1091, 1248]"
Hing,"[343, 367, 386, 423, 439, 444, 471, 475, 529, 548, 606, 613, 614, 616, 906, 1181]"
Pista (pistachio),[424]
REFINED FLOUR,"[5, 24, 32, 43, 60, 73, 74, 75, 80, 91, 93, 97, 98, 107, 122, 129, 146, 147, 151, 178, 184, 191, 192, 193, 198, 201, 205, 210, 222, 229, 231, 248, 267, 271, 272, 273, 276, 285, 297, 302, 308, 310, 322, 324, 328, 331, 340, 346, 350, 362, 363, 369, 371, 372, 374, 375, 377, 432, 460, 468, 481, 491, 510, 516, 517, 528, 536, 543, 552, 555, 558, 559, 571, 573, 574, 578, 579, 580, 582, 583, 592, 593, 599, 604, 609, 617, 624, 629, 673, 676, 684, 689, 690, 706, 774, 775, 782, 784, 800, 825, 831, 832, 833, 843, 851, 867, 875, 879, 887, 908, 922, 939, 969, 974, 984, 986, 991, 998, 1015, 1028, 1029, 1048, 1068, 1080, 1088, 1094, 1104, 1108, 1111, 1121, 1128, 1193, 1253, 1255, 1281, 1283, 1292, 1302, 1318, 1335, 1339, 1357, 1365, 1368, 1388, 1393, 1398, 1430, 1431, 1446, 1455]"
Urad DAL,[1354]
FRESH CORIANDER ROOTS,[390]
PICKLED BEETROOT,[378]
tomato,"[1271, 1274]"
Kashmiri lal mirch powder,[465]
SUNFLOWER OIL/CANOLA OIL,[540]
PERI PERI PANEER FILLING,[448]
Kashmiri lal mirch (red chilli) powder,[397]
Rajgira,[436]
MOTH DAL,"[40, 123, 130, 140, 232, 233, 257, 1355]"
CHOCOCHIPS,[1455]
Green Cardamom,[978]
LUKE WARM MILK,"[297, 331, 340]"
SUGAR,"[1, 5, 10, 15, 19, 20, 24, 29, 30, 32, 33, 40, 45, 47, 50, 60, 64, 68, 69, 71, 73, 75, 76, 77, 78, 83, 84, 92, 96, 97, 98, 102, 109, 115, 123, 127, 130, 131, 132, 136, 153, 156, 166, 170, 172, 174, 175, 176, 184, 187, 188, 192, 194, 198, 199, 211, 217, 223, 225, 227, 228, 229, 232, 234, 237, 241, 245, 251, 254, 256, 257, 259, 264, 266, 267, 268, 270, 271, 276, 277, 280, 281, 282, 289, 303, 305, 306, 312, 324, 326, 327, 331, 338, 340, 341, 346, 347, 349, 351, 355, 365, 374, 375, 377, 404, 417, 419, 428, 430, 434, 451, 455, 457, 460, 468, 470, 472, 477, 480, 481, 493, 498, 501, 503, 511, 514, 517, 525, 531, 540, 542, 543, 551, 552, 558, 560, 573, 574, 578, 583, 587, 591, 592, 598, 602, 604, 617, 621, 624, 631, 633, 639, 650, 665, 673, 674, 677, 679, 685, 703, 724, 758, 760, 774, 779, 792, 794, 797, 798, 799, 800, 807, 818, 821, 835, 843, 844, 848, 851, 886, 888, 910, 911, 912, 923, 933, 935, 942, 954, 997, 1003, 1020, 1026, 1028, 1029, 1034, 1040, 1056, 1058, 1060, 1071, 1075, 1076, 1078, 1088, 1102, 1103, 1104, 1111, 1113, 1115, 1121, 1128, 1152, 1193, 1195, 1225, 1241, 1244, 1254, 1263, 1272, 1273, 1282, 1287, 1291, 1295, 1305, 1307, 1321, 1339, 1355, 1364, 1380, 1388, 1392, 1395, 1402, 1403, 1404, 1413, 1418, 1428, 1433]"
TEEKHI LAL MIRCH,[454]
Tumeric powder,[300]
MASALA PANEER FILLING,[525]
PEDIASURE COOKIES AND CREAM,[1195]
GHEE,"[2, 13, 14, 15, 22, 23, 25, 26, 27, 34, 36, 37, 40, 44, 45, 51, 52, 54, 57, 58, 66, 71, 78, 86, 90, 95, 97, 99, 105, 108, 109, 110, 111, 113, 117, 119, 123, 124, 127, 130, 131, 134, 140, 146, 147, 149, 150, 152, 162, 166, 167, 169, 172, 173, 176, 177, 179, 182, 191, 193, 196, 199, 206, 210, 211, 212, 218, 219, 220, 222, 225, 227, 232, 233, 234, 235, 237, 241, 242, 243, 246, 249, 252, 257, 259, 267, 268, 270, 271, 272, 273, 289, 290, 305, 308, 315, 319, 320, 323, 325, 327, 330, 345, 349, 351, 357, 360, 365, 369, 373, 377, 403, 407, 411, 412, 418, 420, 425, 426, 433, 434, 438, 441, 451, 454, 463, 464, 468, 478, 482, 490, 502, 508, 521, 522, 527, 533, 542, 545, 546, 550, 551, 556, 561, 575, 581, 588, 590, 594, 596, 605, 608, 635, 645, 649, 652, 654, 663, 669, 670, 671, 672, 674, 679, 680, 688, 694, 702, 703, 704, 707, 725, 727, 760, 774, 775, 776, 777, 785, 796, 797, 803, 809, 812, 814, 825, 833, 835, 836, 839, 844, 870, 874, 876, 880, 888, 891, 893, 894, 904, 910, 913, 921, 926, 931, 938, 941, 955, 959, 970, 976, 985, 988, 999, 1024, 1025, 1029, 1033, 1035, 1037, 1046, 1050, 1051, 1056, 1061, 1074, 1075, 1080, 1087, 1088, 1094, 1096, 1097, 1185, 1229, 1241, 1244, 1247, 1251, 1254, 1261, 1288, 1301, 1321, 1355, 1364, 1375, 1402, 1403, 1404, 1405, 1413, 1431, 1445, 1452, 1453, 1454]"
SPICY RED,[212]
KALA MASALA,[503]
FRESH TURMERIC,[390]
PEPPER,"[562, 582, 618, 992, 1020, 1045, 1272, 1338, 1339, 1346, 1392, 1442, 1448]"
RICE NOODLES,"[557, 1000]"
FOX NUTS (MAKHANA),[976]
LEMONS,[1273]
Star anise,"[382, 439, 459, 537, 548, 606, 873, 965]"
RAW CHICKPEA,[575]
