recipe_id,recipe_name,url,ingredients_dict,preparation_time,cooking_time
0,Rasam Vada,https://www.youtube.com/watch?v=7LpEu6rTyHs,"{'TUR DAL': '0.25', 'WATER': 'AS REQUIRED', 'TURMERIC POWDER': '0.25', 'OIL': '2', 'MUSTARD SEED': '0.5', 'CURRY LEAVES': '12-15', 'GREEN CHILLI': '2', 'RED CHILLI': '4', 'GARLIC': '6', 'ASAFOETIDA': '0.25', 'TOMATO': '2', 'CORIANDER STEMS': 'A HANDFUL', 'SALT': 'TO TASTE', 'TAMARIND': 'A LARGE LEMON SIZED BALL', 'JAGGERY': '1', 'HOT WATER': 'AS REQUIRED', 'RASAM POWDER': '3', 'BLACK PEPPER': 'A LARGE PINCH', 'FRESH CORIANDER': 'A HANDFUL', 'URAD DAL': '1', 'COLD WATER': 'AS REQUIRED'}",20.0,30.0
1,Chicken in Peri Peri Sauce with Butter Rice,https://www.youtube.com/watch?v=d9_YSS1lB1w,"{'CHICKEN': '400-450 GRAMS', 'OLIVE OIL': '3 TBSP', 'GINGER GARLIC GREEN CHILLI PASTE': '3 TBSP', 'PERI PERI SEASONING': '3.5 TBSP', 'VINEGAR': '1 TSP', 'SALT': 'TO TASTE', 'RED BELL PEPPER': '1 NO.', 'ONION': '2 NOS.', 'TOMATO': '2 NOS.', 'GREEN CHILLI': '3 NOS.', 'KASHMIRI RED CHILLI POWDER': '1 TSP', 'HOT WATER': 'AS REQUIRED', 'LEMON ZEST': 'OF 1 LEMON', 'LEMON JUICE': '1/2 A LEMON', 'SUGAR': 'A LARGE PINCH', 'FRESH CREAM': '2-3 TBSP', 'FRESH CORIANDER': 'A HANDFUL', 'BUTTER': '2 TBSP', 'BASMATI RICE': '4 CUPS'}",15.0,30.0
2,Turai Ki Sabzi,https://www.youtube.com/watch?v=nX5vogjw_yk,"{'SPONGE GOURD': 1, 'ONION': 2, 'TOMATO': 2, 'GHEE': 3, 'TURMERIC POWDER': 0.5, 'KASHMIRI RED CHILLI POWDER': 0, 'SALT': 0, 'BLACK PEPPER': 0, 'GARAM MASALA': 0, 'FRESH CORIANDER': 0}",10.0,25.0
3,Chicken Pepper Fry,https://www.youtube.com/watch?v=5R6nNJC-FVE,"{'BLACK PEPPERCORNS': 2, 'CUMIN SEEDS': 1, 'FENNEL SEEDS': 1, 'OIL': 4, 'CURRY LEAVES': 0, 'GARLIC': 20, 'ONION': 3, 'GINGER GARLIC GREEN CHILLI PASTE': 2, 'TURMERIC POWDER': 0.25, 'GARAM MASALA': 0.25, 'CHICKEN': 1000, 'SALT': 0, 'HOT WATER': 0, 'GREEN CHILLI': 3, 'LEMON JUICE': 0.5, 'FRESH CORIANDER': 0}",10.0,20.0
4,Achari Paneer,https://www.youtube.com/watch?v=P514UYjzZ-E,"{'FENNEL SEEDS': 2, 'CUMIN SEEDS': 1, 'MUSTARD SEEDS': 0.5, 'FENUGREEK SEEDS': 'A PINCH', 'KASHMIRI RED CHILLI': 2, 'SALT': 'A PINCH', 'DRY MANGO POWDER': 2, 'BLACK SALT': 0.5, 'MUSTARD OIL': 2, 'NIGELLA SEEDS': 0.25, 'GARLIC': 1, 'GREEN CHILLI': 2, 'PANEER': 350, 'TOMATO': 1, 'CAPSICUM': 1, 'ONION': 3, 'TURMERIC POWDER': 0.25, 'KASHMIRI RED CHILLI POWDER': 1, 'ACHARI MASALA': 'A PINCH', 'GINGER GARLIC GREEN CHILLI PASTE': 2, 'HOT WATER': 'A SPLASH', 'SPICY RED CHILLI POWDER': 0.5, 'CORIANDER POWDER': 1, 'TOMATO PUREE': 2, 'DAHI': 0.75, 'FRESH CREAM': 2, 'GINGER': 1, 'ROASTED KASURI METHI POWDER': 'A PINCH', 'GARAM MASALA': 'A PINCH', 'FRESH CORIANDER': 'A HANDFUL'}",25.0,45.0
5,Veg Wonton,https://www.youtube.com/watch?v=pXyX4K1xYzU,"{'REFINED FLOUR': 2, 'SALT': 0.25, 'OIL': 1, 'WATER': 150, 'CORN FLOUR': 0, 'GARLIC': 4, 'GINGER': 1, 'GREEN CHILLI': 2, 'FRENCH BEANS': 10, 'CARROT': 1, 'CABBAGE': 0.5, 'WHITE PEPPER POWDER': 0, 'BLACK PEPPER POWDER': 0, 'VINEGAR': 0.25, 'SUGAR': 0, 'LIGHT SOY SAUCE': 0.25, 'RED CHILLI SAUCE': 0.5, 'FRESH CORIANDER': 0, 'SPRING ONION GREENS': 0, 'RED CHILLI FLAKES': 0.25, 'POWDERED SUGAR': 1, 'CINNAMON': 1, 'STAR ANISE': 1}",20.0,40.0
6,Dosa,https://www.youtube.com/watch?v=1dCguTWLiJ4,"{'RICE': 0, 'LENTILS': 0}",0.0,0.0
7,Gobhi 65,https://www.youtube.com/watch?v=_7NhL82zEq4,"{'CAULIFLOWER': 1, 'WATER': 'AS REQUIRED', 'SALT': 'A LARGE PINCH', 'GINGER': 2, 'GARLIC': '3-4 CLOVES', 'GREEN CHILLI': 4, 'RICE FLOUR': 0.5, 'CORN FLOUR': 0.5, 'KASHMIRI RED CHILLI POWDER': 1, 'GARAM MASALA': 0.25, 'CUMIN POWDER': 0.5, 'BLACK PEPPER POWDER': 1, 'CURRY LEAVES': '20-25 NOS.', 'CURD': 3, 'HOT OIL': 1, 'OIL': 1, 'TEMPERING': 1}",10.0,20.0
8,Bharwan Bhindi (Stuffed Bhindi),https://www.youtube.com/watch?v=3SCrf1FW70w,"{'LADY FINGER': 250, 'GRAM FLOUR': 2, 'CAROM SEEDS': 0.25, 'FENNEL SEEDS': 1, 'KASHMIRI RED CHILLI POWDER': 2, 'SPICY RED CHILLI POWDER': 0.5, 'DRY MANGO POWDER': 1, 'BLACK SALT': 0.25, 'CUMIN POWDER': 0.25, 'CORIANDER POWDER': 1, 'TURMERIC POWDER': 0.25, 'GARAM MASALA': 0.25, 'SALT': 0, 'MUSTARD OIL': 2, 'CUMIN SEEDS': 0.25, 'ASAFOETIDA': 0.25, 'FRESH CORIANDER': 0, 'LEMON JUICE': 1}",10.0,15.0
9,Veg Peri Peri Shawarma,https://www.youtube.com/watch?v=Sdtc2rl7JGA,{'SOYA CHUNKS': 0},0.0,0.0
